CUSIP,Category
577130578,
577130586,
577130594,
577130610,
577130628,
78463V107,Gold
81752T429,
85210H109,Gold
87283Q792,
92189F106,
92189F403,
92189F429,
92189F445,Fixed income: global/non-US
92189F643,
92189F676,
92189F692,
92189F700,
92189F767,
92189F791,
92189F817,
92189H300,Fixed income: global/non-US
92189H409,Fixed income: United States
92189H607,
921908844,Equities: United States
921909768,Equities: global/non-US
921910709,Fixed income: United States
921910816,Equities: United States
921910840,Equities: United States
921910873,Equities: United States
921932505,Equities: United States
921932703,Equities: United States
921932778,Equities: United States
921932794,Equities: United States
921932828,Equities: United States
921932844,Equities: United States
921932869,Equities: United States
921932885,Equities: United States
921937793,Fixed income: United States
921937819,Fixed income: United States
921937827,Fixed income: United States
921937835,Fixed income: United States
921943858,Equities: global/non-US
921946406,Equities: United States
921946885,Fixed income: global/non-US
92203J407,Fixed income: global/non-US
922042676,Real estate
922042718,Equities: global/non-US
922042742,Equities: global/non-US
922042775,Equities: global/non-US
922042858,Equities: global/non-US
922042866,Equities: global/non-US
922042874,Equities: global/non-US
92204A108,
92204A207,
92204A306,
92204A405,
92204A504,
92204A603,
92204A702,
92204A801,
92204A876,
92204A884,
92206C102,Fixed income: United States
92206C409,Fixed income: United States
92206C599,Equities: United States
92206C623,Equities: United States
92206C649,Equities: United States
92206C664,Equities: United States
92206C680,Equities: United States
92206C706,Fixed income: United States
92206C714,Equities: United States
92206C730,Equities: United States
92206C771,Fixed income: United States
92206C813,Fixed income: United States
92206C847,Fixed income: United States
92206C870,Fixed income: United States
922908363,Equities: United States
922908512,Equities: United States
922908538,Equities: United States
922908553,Real estate
922908595,Equities: United States
922908611,Equities: United States
922908629,Equities: United States
922908637,Equities: United States
922908652,Equities: United States
922908736,Equities: United States
922908744,Equities: United States
922908751,Equities: United States
922908769,Equities: United States
97717W281,
97717W315,
97717W422,
97717W521,
97717W851,
97717X701,
98149E303,Gold
